name,total_contributions
Tidwell Bonding Co,2800
Unity Builders LLC,2800
Dermatology Specialists,2800
Weekley Properties,2800
Meijer Inc,2800
USA Managed Care Org,2800
Kent Forest Lawn Funeral Home,2800
Atlantic Urological Assoc,2800
Dts America,2800
Kelly Allen Private Studio,2800
Double Quick Inc,2800
Nvms,2800
Crowne Partners,2800
Tutor-K To College,2800
Agworks Solutions,2800
LaSalle Management,2800
Crown Equipment,2800
Drummond Press,2800
Baughn Construction,2800
Broadcom Inc,2800
Warner Seale Public Affairs,2800
Big Express,2800
Battery Distributer,2800
US Dept of State,2800
Truck Enterprises,2800
AgWorks Solutions,2800
Maddog Technology,2800
Blackstone,2800
Ward Petroleum,2800
Dupre Energy Services,2800
Lad Services of Louisiana,2800
Best Cigar Prices,2800
Magnum Producing,2800
Jefferson Torresdale Hospital,2800
Ae office Machines,2800
LSN Partners,2800
Waldron Enterprises,2800
University of Chicago & U Of Arizona,2800
Varsity Spirit,2800
Valour LLC,2800
Berry Group Ltd,2800
Brandywine Fund,2800
TSW Ii Management,2800
Lafayette Terminals,2800
TJF Gold,2800
TF Warren Group,2800
Vanquish Worldwide,2800
Esi,2800
Classic Chevrolet,2800
Esor Pharmadeutial,2800
Bay Lincoln Mercury Dodge,2800
Vascular Surgery Assoc,2800
Bronx Defenders,2800
Eurpac Service,2800
ALG Senior LLC,2800
Bastion Technologies,2800
Bruce Foods Corp,2800
Merryman-Far LLC,2800
J&S Construction,2800
P5 Capital,2800
Wesfam Restaurants Inc,2800
Axonic Capital,2800
Excel Usaa,2800
Atlanticus Holdings,2800
Susquehanna International Group,2800
Valley Proteins,2800
Allergy Assoc,2800
Wadsworth Oil Co,2800
Deep South Peanut,2800
Demetree Brothers,2800
Mabrey & Partners LLC,2800
North Calvert Anesthesiology,2800
New South Neurospine,2800
Chicago Trading Co,2800
Elite Home Health,2800
Jackson County Tow,2800
Thomas & Dorothy Leavey Foundation,2800
Crossfit Mayhem,2800
The Pathology Laboratory,2800
One Step Up Ltd,2800
Allcor,2800
Black Knight,2800
Urology Specialists of W Fla,2800
Energy Freedom Advocates,2800
JVC Investment Partners,2800
Tennessee Farmers Cooperative,2800
Brain & Spine Specialists,2800
Engel & Assoc,2800
Optimize Consulting,2800
Bracken Resources,2800
Enirtep Inc,2800
Teb Management Sm,2800
Chattanooga Allergy Clinic,2800
Wells Real Estate Funds,2800
Spa Clinic Director,2800
W Atlee Burpee & Co,2800
Patout Equipment Co,2800
33 Resources LLC,2800
Giarratana LLC,2800
Shockey Scofield Solutions,2800
Retail Facilities,2800
Gulf Coast Facial Plastics,2800
Law Firm of Lem Allen,2800
Burns Chevrolet,2800
Gerald Condon Properties,2800
Fulton Homes Corp,2800
Cas Inc,2800
Bedford Funding,2800
Georgia Solar Lightning,2800
Lionsgate Disaster Relief,2800
HA Sack Co,2800
G&H Seed,2800
Salltport Global,2800
GA Solar Lighting,2800
Sequatchie Concrete Service,2800
Harbor Refining,2800
Carroll Homes,2800
Pizza Central,2800
Anchor Industrial Services,2800
HCB Financial,2800
Pohanka Honda,2800
Mizell Ford,2800
Shuman Farms,2800
Carillon Corp,2800
Camacho Demolition,2800
Healthcare Management Services,2800
Health Point Partners,2800
RR Matheson LLC,2800
Collegesource Inc,2800
Racon Inc,2800
Workstrings International LLC,2800
Simmons Erosion Control,2800
Silvi Group,2800
Silvi Concrete,2800
Ccr Inc,2800
Rex Lumber,2800
Innovations Group,2800
Hawaiian Gardens Casino,2800
Mountain City Realtors,2800
Catesa Farms LLC,2800
Hull Property Group,2800
Apartment & Comm Svc,2800
SM Stoller Corp,2800
Mike Schmitz Automotive Group,2800
Coon Restoration & Sealants,2800
Apache Corp,2800
Boyer Inc,2800
Guideway Care,2800
Information International Assoc,2800
GMM R E Dev,2800
American National University,2800
George E Jones & Sons,2800
Scg Ny,2800
Haleton Shaft,2800
Gem Technologies,2800
Plateau Group,2800
Gen Manager,2800
Redshift Strategy,2800
Xana Management,2800
Carrick Capital Partners,2800
Saunders Property,2800
Personal Image,2800
Benco Dental,2800
Baines Global Network,2800
Hamlin & Assoc,2800
Coopers Drugs,2800
Sargent Law,2800
American Pollution Control,2800
Angels of Texas Investments,2800
"Sarasota County, FL",2800
Wilson Bank & Trust,2800
Reinicke Athens,2800
Barclays,2800
Sara Hart Weir for Congress,2800
Sanzone & Baker Pc,2800
Schlouch Inc,2800
Gcm,2800
Hunt Foundation,2800
Bank of Cleveland,2800
Worldlink Medical,2800
Core Scientific,2800
Copeland Veterinary Hospital,2800
Gentry Locke Rakes & Moore,2800
Pepin Distributing,2800
Pohanka Auto Group,2800
Republic Airways,2800
AAMCO Transmissions & Total Car Care,2800
Haag Brown Commercial,2800
3h Group Hotels,2800
Moses Auto Mall,2800
Hunt Farms,2800
Hankins Inc,2800
Hunt Consolidated,2800
Schuckit & Assoc,2800
Assoc Int,2800
Genie Energy Ltd,2800
Hageman Group,2800
Law Office of Robert T Homlar,2800
Cancer Center of Middle Georgia LLC,2800
Indrio Brands LLC,2800
Infinite Mind,2800
Xr LLC,2800
Mountain View Ford,2800
Penn Waste,2800
Prewett Holdings LLC,2800
First Southern Services,2800
Morgan Memorial Hospital,2800
Prime Capital Management,2800
Asgco,2800
First Tower Corp,2800
Primecap Management,2800
Model Software,2800
Hollingsworth Oil,2800
Southwood Partners,2800
Insula Companies,2800
Americans for Limited Government,2800
Nai Michael Co,2800
Coldspring Inc,2800
Primerica Financial Services,2800
Americans for Legislating Excellence PAC,2800
American Beverage Assn,2800
Greenway Medical Technologies,2800
Southern Utah Development,2800
Hojeij Branded Foods,2800
Associated Asphalt,2800
Combustion Emissions Reduction Tech,2800
Rouses Markets,2800
Lazy G Ranch,2800
Maurer + Scott Sales,2800
Robert B Reingold,2800
Boson Software LLC,2800
Presidio Stratefic,2800
Columbia Co Ga Board of Ed,2800
Grant County Schools,2800
"Central Carolina Ear, Nose et al",2800
Montverde Academy,2800
Kimble Companies,2800
Patriot Angels,2800
St Johns Vein,2800
Landmark Title Inc,2800
Financial Insurance Management,2800
Finman Technologies,2800
Hoover Tactical,2800
Springs Creative,2800
Beasley Construction Co,2800
Hoosier Pathology,2800
Spriggs Enterprises,2800
Armed Forces Marketing Council,2800
Wood Group USA,2800
Spirits of Tn,2800
Integral Manufacturing,2800
Pcpi,2800
First National Bank of Tennessee,2800
Preservation Group,2800
Kingsgate Transportation Services LLC,2800
Southern Institute of Etiq,2800
Progressive Pipeline,2800
Ziegler Tire & Oil,2800
Midwest Communications Group,2800
Richard James Devall LLC,2800
Phi Inc,2800
Mozart Investments,2800
Bergson & Co,2800
Sms Marine,2800
Moyers Fish Farm,2800
Pioneer PAC (Rob Bishop),2800
Quandel Enterprises,2800
Lojac,2800
Moving America's Republicans Into Number One,2800
Landstar System Inc,2800
Ziegler Tire,2800
Conversion Technology,2800
Penn Credit,2800
Penn Strategies,2800
S&K Sales,2800
Queen's Reward Meadery LLC,2800
Hyperion Technology Group,2800
Cd Applications,2800
R West Development Co,2800
R&R Properties,2800
RAC Properties of Athens,2800
Budweiser Busch Dist,2800
Greg Coleman Law,2800
Mri Inc,2800
Middle Tennessee State University,2800
Rts Assoc,2800
Hk Group,2800
Cenergistic Inc,2800
Southern Cutters Lawn & Landscaping,2800
CDI,2800
Carey Distributors,2800
Costar Group,2800
Florida Indian River Groves,2800
Southeastrans,2800
Florida Sun Realty,2800
Asea,2800
Flowserve,2800
Greer Investment Co,2800
"Richrd P St Clair, A Professional Co",2800
Larry H Miller Group,2800
CR England Inc,2800
Ashley Furniture Industries,2800
Hickory Foundation,2800
Food Services Executive,2800
Workstrings International,2800
Foot Levelers Inc,2800
Mrp Industrial,2800
General Knox Law,2800
RLH Logging,2778
Butch Boyd Law Firm,2774
Taco Bell,2750
Sherwood Chevrolet,2750
Decristo Inc,2750
Ryan Inc,2748
Military Club of America,2715
Hibbitts Insurance Co,2700
TNT Fireworks,2700
Lanier Construction,2700
Centaur Gaming,2700
"Craig E Harrison, MDPA",2700
Cedar Hill Capital Partners,2700
Cas Cable,2700
Hurst Review,2700
Medical Assoc of Middletown,2700
Span Enterprises,2700
Thompson Construction,2700
Cedar Hill,2700
Sierra Frac Sand LLC,2700
Raine Group,2700
Broadway Hotel,2700
Urology Group,2700
Jones Lang LaSalle,2700
Sinclair Companies,2700
Kim R Smith Trucking,2700
Lancaster Motor Co,2700
Walsh & Kelly,2700
Reeds Metals,2700
MDC Holdings,2700
Robins Cellars,2700
A10 Capital,2700
Afotec,2700
Perot Systems,2700
Xtreme Concepts,2700
San Tan Ford,2700
Robert Watkins & Co,2700
Precision Precast Erectors,2700
Realty Investments,2700
DLC Pizza,2700
CHS Architects,2700
Zivity LLC,2700
ASAP Dental Care,2700
Longview Power LLC,2700
Coleman Oil Co,2700
"Beam, Longest & Neff",2700
Anduril,2653
Henry Dunn Inc,2650
Ramco Electric Motors,2600
Ralph S Alberts Co,2572
Keller Marine & Rv,2541
Relay Express,2520
Regeneron Pharmaceuticals,2500
Duff Capital Investors,2500
Rio Tinto America,2500
Hodges Management Group,2500
Baptist Health Care,2500
Columbus Communities LLC,2500
Point PAC,2500
Victory & Freedom PAC,2500
Avista Corp,2500
Citizens State Bank,2500
Republic Services,2500
Republic Financial Services Inc Politica,2500
Digestive Disease Center,2500
Walt Disney Co,2500
Mardant Eledtrical Construction,2500
Anschutz Corp,2500
No Borders Dental Resources,2500
9850 Atlantic LLC,2500
Lexicon Inc,2500
Availity LLC,2500
Kraft Heinz Co,2500
Maughan Law Group,2500
Ware Oil,2500
Resmed Inc,2500
Andeavor,2500
Greer & Walker Llp,2500
Purefun Inc,2500
Hayward Allen,2500
Leon,2500
Applied Research,2500
Civil-Link LLC,2500
National Pest Management Assn,2500
QEP Resources,2500
Med-Lake LLC,2500
Civil Link,2500
Cabinetz & Topz,2500
Tronox Inc,2500
Rayonier Inc,2500
Aal Land Surveying,2500
Rapoca Energy,2500
United Launch Alliance,2500
Arch Leadership PAC,2500
Leitner Construction,2500
Mtbj,2500
Jelks Stud Farm,2500
Aalto Scientific,2500
Beatty Chevrolet,2500
Duff Brothers Investments,2500
Philips Electronics North America,2500
Silencer Shop,2500
White Stallion Ranch,2500
Lanstar System,2500
American Soc Cataract/Refractive Surgery,2500
W Bruce Kopper Investment,2500
Corteva Agriscience,2500
Cool Today,2500
SG Citrus Processing,2500
Welder Leshin,2500
Operations,2500
Institute for Defense Analyses,2500
Sawtooth PAC,2500
Energy Pipe & Equipment Rentals,2500
Electro Graphic Products,2500
American Traffic Safety Services Assn,2500
Cooper Tire & Rubber,2500
National Distributing Co,2500
Peggy Slappey Properties,2500
Society of Interventional Radiology,2500
Southern Nuclear Operating Co,2500
Pete Michael's Traffic,2500
Council for Responsible Nutrition,2500
Perry-Mccall Construction,2500
Solvay America,2500
Insp LLC,2500
Chemours Co,2500
Phil Long Dealerships,2500
Barrett Firearms,2500
Weber for Congress,2500
Building American Conservatism PAC,2500
Marriott International,2500
Brunini Law Firm,2500
Fritts Group,2500
Robson Communities,2500
Pennant Capital Management,2500
Fiorentino Group,2500
Simpson for Congress,2500
TECO Energy,2500
Bay Medical Solutions,2500
Surety & Fidelity Assn of America,2500
Strongmind,2500
First Community Bank,2500
Fred Caldwell Chevrolet,2500
Neale Creek LLC,2500
Loose Group,2500
Teal Construction,2500
Winterville Animal Clinic,2500
Mednax Inc,2500
FIRST Group,2500
Gentry Co,2500
Intl Foodservice Distributors Assn,2500
Fowler Flemister Concrete,2500
Brookshire Grocery,2300
Vensure,2300
Bennett Lumber,2300
Three Dimensional Development,2296
Vero Beach City Council,2250
Eiguren Fischer Public Policy,2250
Dgsr LLC,2250
Republican Women of Huntsville,2200
Schrimsher Properties,2100
Houston Enterprises,2050
Vensure Employer Services,2050
Musgrave Pencil Co,2048
All Pro Solutions,2025
Black Hills Corp,2000
Management & Training Corp,2000
Premier Optomology,2000
Express P,2000
Association of American Railroads,2000
Boxley Materials,2000
Hecla Mining,2000
DR Horton Inc,2000
Alpine Group,2000
Defoor Realty,2000
VIAM Mfg Inc,2000
Cairnstone Benefits Group,2000
Ada West Dermatology,2000
Virginia Poultry Growers Cooperative,2000
Buckeye Partners,2000
Pauley Management,2000
Create Inc,2000
Health First,2000
Headwaters Inc,2000
Fiber & Cable Accessories,2000
Community Health Systems,2000
W&J Construction,2000
Kayla's List,2000
Allpoints Land Survey,2000
Lugar Hellmann Group,2000
Radiology Imaging,2000
Stanton Park Group,2000
Dental Access Carolina,2000
Mike Erdman Motors Inc,2000
National Assn for Gun Rights,2000
alec bradley,2000
Corporate Holdings,2000
Sun & Star Enterprises,2000
American Composites Manufacturers Assn,2000
Center for Sportfishing Policy,2000
SotoDeals,2000
Mike Holt Enterprises,2000
Sony Pictures Entertainment,2000
Comer Distributing Co,2000
Darigold,2000
Meyers Chapman,2000
Coteau Farms,2000
Stone Arch Development,2000
Hexcel Corp,2000
Daniel Webster for Congress,2000
David Rouzer for Congress,2000
Comfort Zone of the Carolinas,2000
Float-On Corp,2000
Inspiration Ministries,2000
Pelleton Renewables,2000
Vibrant Technologies,2000
Sterritt Dental,2000
Port of Corpus Christi Authority,2000
Substation Concrete Services,2000
Forests Forever,2000
Pearce Construction,2000
Spdn S Tx,2000
Deardoff Automotive Group,2000
Arkema Inc,2000
Valley Victory Fund,2000
Ambassador Enterprises,2000
Village Auto Center,2000
Quality Foam Packaging,2000
Home Veterinary Services,2000
Moorhead Brothers,2000
Frontier Development,2000
McLeod Enterprises,2000
Crisafulli Enterprises,2000
H&M Drugs,2000
Omni Healthcare,2000
All Florida Orthopaedic Assoc,2000
Keltech Inc,2000
Salt River Pima-Maricopa Indians,2000
Carolina Blood & Cancer Center Assoc,2000
The Fuente Companies,2000
Cherry1 LLC,2000
Hafemann Magee Thomas,2000
Best Western Yosemite Gateway Inn,2000
Madison County Commission,2000
Comprehensive Anesthesia Services,2000
Mental Health Assoc In Indian River,2000
Emf Broadcasting,2000
Texas Star Investments,2000
American Securities LLC,2000
Friends Of Matt Gaetz,2000
Texans for Lamar Smith,2000
Crest Cleaners,2000
Carolina Urology Partners,2000
Georgia Mining Assn,2000
Electric Jet,2000
Satcom Direct Communications,2000
Top Talent Staffing,2000
Ogden & Assoc,2000
ASCAP,2000
Trevetts,2000
Monarch Enterprises,2000
Pinnacle Holdings Inc of Florida,2000
Dwire Earthmoving & Excavating,2000
Continental Automotive Inc,2000
Gold Mech Inc,2000
Rio Grande Valley Sugar Growers,2000
Akw Rental Property LLC,2000
Girard Equipment,2000
Ikon5,2000
Biggs for Congress,2000
Titan Technologies,2000
National Assn of Federally Insured Credit Unions,2000
Gma Inc,2000
Tietjen Technologies,2000
Madeinamericacom Inc,2000
"Alexander, Corder et al",2000
NVIDIA Corp,2000
Brevard Learning Clinic,2000
Texas Farm Products Co,2000
Sawtooth Investment Management,2000
Atzenhoffer Chevrolet-Cadillac,2000
Sea & Shoreline LLC,2000
Williams & Fudge,2000
Security Finance,2000
Avidyne,2000
Design & Build Electrical Engineering,2000
Peoples First,2000
Hartland Homes,2000
Taking an Independent Perspective Together Our Ntn,2000
American Intellectual Property Law Assn,2000
Tacoma Management,2000
Carter Machinery Co,2000
Nextran Corp,2000
Funkhouser Real Estate Group,2000
Crenshaw Companies,2000
Moulton's Pharmacy,2000
United Infrastructure Group,2000
Friends of Jeb Hensarling,2000
Cornerstone Staffing,2000
Dixie Gas & Oil,2000
Opm Properties,2000
Schock for Congress,2000
Schrimsher Management,2000
Lake Wylie Family Dentistry,2000
Chattanooga Orthopaedic Group,2000
Sdl Ventures,2000
Ted Yoho for Congress,2000
Colorado River Indian Tribe,2000
National Utility Contractors Assn,2000
Tea Party Express/Our Country Deserves,2000
JO Farms LLC,2000
Ten-X LLC,2000
Merrifield & Pilcher Realty,1820
Foxborough Boulevard Management,1801
Cruise Lines International Assn,1800
Fred Leavitt,1750
Embracing Management Services,1750
Deltha Corp,1750
Wise Capital Strategy LLC,1750
'Gaylor Inc ',1666
Pencor Services,1600
Reg Dental Hygenist,1600
Build the Wall PAC,1600
Kirchner Family Foundation,1500
Walker Design & Construction,1500
Aaa Airporter,1500
Kent Services,1500
Craig,1500
Craft Electrical,1500
BBX Capital,1500
Kopelowitz Ostrow Firm PA,1500
Bartlett Family Winder LLC,1500
Kolesar & Leatham,1500
Wainco Realty,1500
Kimber Manufacturing,1500
"Kramer, Levin et al",1500
Winstead PC,1500
Marqeta Inc,1500
Fairfield Companies,1500
American Forest Resource Council,1500
"Pilkinton I, Charles",1500
Boca Home Care,1500
Dynamac,1500
Tristans Bank,1500
Reliant Health Care Services,1500
Aipac,1500
Turner Beverage Co,1500
Turner Construction,1500
Bristol Meyers,1500
Charles E Solak Cpa Pa,1500
Hammerman Capital,1500
Tyler Nephrology Assoc,1500
Athesn Academy,1500
Legal Cannabis Colorado Seed & Smith,1500
Steven Moore,1500
SMA Communications,1500
Biscayne Atlantic Group,1500
Huntington National Bank,1500
Imagine Capital,1500
Tarraf & Filhos S,1500
Ana Lab,1500
INCOMPAS,1500
Authentic Id,1500
Rosenberg & Rosenberg,1500
MS Sports Medicine,1500
Friends of Geoff Cauble,1500
Brown Harris Stevens,1500
Atlantic Realty,1500
Richardson Group,1500
Rotor Clip,1500
Morris Law Group,1500
Lumina Investment Advisors LLC,1500
East Bay Perinatal,1500
Early Services Inc,1500
Pantheon Systems,1500
Rachel & Moe,1500
Garver USA,1500
Hazzard Law LLC,1500
Food Mfg,1500
Labovick Law Group,1500
Validity Finance,1500
Minkoff Group,1500
Data Trends,1500
Venable LLP,1500
Brandt Agency,1500
Forsight Inc,1500
Hollier & Assoc,1500
BlueMountain Capital Management,1500
"Skadden, Arps et al",1500
Pennington Seed,1500
Simulation Technologies,1500
CDP Stucco,1500
Sight Machine,1500
Seaside Insurance,1500
Lavitsky Computer Laboratories,1500
Highpoint Assoc,1500
CSC Coliving,1500
Ag Concepts,1500
Interamericana Transport Industries,1500
Long Term Care Management LLC,1500
Mississippi Manufactured Housing,1500
Citizens Pharmacy,1500
Dhl,1500
Schwartz Law,1500
City Property Management,1500
United Health Pac,1500
Benson's Bakery,1500
Johnson Storage & Moving,1500
Hso,1500
Pugh Group,1500
Windy Ridge Dairy LLC,1400
Peter Rhein,1400
Belstra Milling,1300
Project Finance & Develop LLC,1250
S&K Sod,1250
Ushealth Advisors,1170
Wells Capital Management,1125
Enable Midstream Partners,1025
CF Industries,1000
Gatorworld Parks of Florida,1000
Indiana Motor Trucking Assn,1000
Heffley & Assoc,1000
American Road & Transport Builders Assn,1000
Coors of Longview,1000
Henry & Peters PC,1000
Henry Poor Lumber Co,1000
American Plant Food Corp,1000
Carrier Global,1000
Colorado Springs Pediatric Dentistry,1000
Poolemckinley,1000
Mpi Corp,1000
Sheridan Healthcare,1000
Precision Machined Products Assn,1000
Young Republicans,1000
Ariel Inc,1000
Seaworld Parks & Entertainment,1000
Arizona Cattle Feeders Associa,1000
Arizona Nutritional Supplements,1000
Arizona Rock Products Assn,1000
Lippes Mathias,1000
Services Group of America,1000
Pqh Group Design,1000
American Sugarbeet Growers Assn,1000
Cameco Inc,1000
Grand Canyon State Caucus,1000
Law Office Of Sandra S Froman,1000
Ron Alting for State Senate Cmte,1000
Woodall Farms LLC,1000
Roberts Orthopaedic Clinic PA,1000
Witten Advisors,1000
Coleman Goodemote Construction,1000
Green Acres Baptist Church,1000
Pieper & Marsh Family Dentistry,1000
Gtn Technical Staffing,1000
Ids,1000
Bonner Carrington LLC,1000
Ruckel Insurance,1000
Habitat for Humanity Lake Sumter,1000
Building a National Knowledgeable Security PAC,1000
XO Communications,1000
Angelina College,1000
Mustang Engineering,1000
Red Gold Inc,1000
National Society of Professional Surveyors,1000
American Water Works Co,1000
SFMG Wealth,1000
Campaign,1000
Raymar Inc,1000
Independent Bankers Assn of Texas,1000
"Butler, Fairman & Seufert",1000
Nicoson Farms,1000
Florida Sugar Cane League,1000
Kirby Risk Corp,1000
Lafayette Orthopaedic Clinic,1000
Dr Vet Medicine,1000
OCI Assoc,1000
Tri-R Construction,1000
Office Furniture Sales,1000
Eagle Global Advisors,1000
East Terra Plastics,1000
East Texas Fasteners,1000
Six Seven Capital LLC,1000
Telecommunications & Ardmore Telepho,1000
Thorworks Industries,1000
Old National Bank In Evansville,1000
Thlopthlocco Tribal Town,1000
The Labrador Co,1000
Austin Scott for Congress,1000
Endeavor,1000
Tempest Homes,1000
Tyler Jr College,1000
Dr Brian Babin for Congress,1000
Jh Inland,1000
Jhtg Inc,1000
Dabora Inc,1000
Brandon Structures,1000
Dallas Safari Club,1000
Dan Donovan for Congress,1000
Abney & Co,1000
Dan Mead,1000
Uranerz Energy,1000
Joy Global Inc,1000
United Physician,1000
United Dairymen of Arizona,1000
Distilled Spirits Council,1000
McShane,1000
Don's T V & Appliance,1000
Jim Banks for Congress,1000
Crystal Motor Car Co,1000
AMS Direct,1000
Ohl,1000
"Hopping, Green & Sams",1000
Farm Bureau,1000
Peabody Energy,1000
American Bus Assn,1000
Florida Cactus,1000
Stan McNabb Chevrolet,1000
Fibrogenesis,1000
Central Florida Hospitalist Partners,1000
"Coates Law Firm, P L",1000
Paradigm Homecare,1000
Invariant LLC,1000
Farmers State Bank,1000
Pellegrini Homes,1000
Neiman Enterprises,1000
Florida Farm Bureau,1000
Fanimation,1000
"Charles L Heaton, MDPA",1000
Whiting Petroleum,1000
Browning Insurance Agency,1000
Kinnard Chiropractic,1000
Snider Industries,1000
Barrick Goldstrike Mines,1000
PROSSER,1000
Solar Sources,1000
First State Bank & Trust,1000
Lincoln County Gop,999
University Hospital & Clinics,850
Donald E Cagle Md,800
Merrill,800
Holliday Sheet Metal,750
UT Tyler,750
Potter Minton Pc,750
Arnold Trucking,750
Ben Lomand,750
George Winn Real Estate,750
BancorpSouth Insurance Services,750
"Harrison County, TX",700
Uranium Energy Corp,500
"Maldegen, Templeman & Indall",500
TCH Group,500
Columbia Dental Assoc,500
The Celebration,500
Sun-Drop Bottling Co,500
Middle Tennessee Bone & Joint,500
Strata Energy,500
Volunteer Reinforcing,500
Van Buren County Gop,500
SarahPAC,500
Medical Center Pharmacy,500
Dentons US,500
Ogilvy Government Relations,500
Cameron Gouger,500
National Athletic Trainers Assn,500
California Erectors,300
Chattanooga Agc Pac,250
Stillwater Investments,250
Parks Group,250
Jackson Clinic,250
Distinc Tt,250
Nutrien,50
Visnaga Ranch,50
Juris Consultants LLC,10
